ranking,customer_name,propensity_score,faixa_propensao,percentil_score,recencia_dias,frequencia_pedidos,valor_total_gasto,ticket_medio,data_ultima_compra,segment,market
220,MaryBeth Skach,0.5517,Média Propensão (Foco em Nutrição),8,15,33,14790.0,448.18,2014-12-16,Consumer,LATAM
221,Alejandro Ballentine,0.5511,Média Propensão (Foco em Nutrição),8,5,39,15463.0,396.49,2014-12-26,Home Office,APAC
222,Amy Cox,0.5506,Média Propensão (Foco em Nutrição),8,5,26,17155.0,659.81,2014-12-26,Consumer,US
223,Eudokia Martin,0.5503,Média Propensão (Foco em Nutrição),8,8,26,13723.0,527.81,2014-12-23,Corporate,EU
224,Greg Hansen,0.5499,Média Propensão (Foco em Nutrição),8,1,38,13997.0,368.34,2014-12-30,Consumer,EU
225,Nat Carroll,0.5485,Média Propensão (Foco em Nutrição),8,5,31,16613.0,535.9,2014-12-26,Consumer,APAC
226,Andrew Allen,0.5481,Média Propensão (Foco em Nutrição),8,125,25,19758.0,790.32,2014-08-28,Consumer,US
227,Lindsay Shagiari,0.548,Média Propensão (Foco em Nutrição),8,20,27,9366.0,346.89,2014-12-11,Home Office,US
228,Natalie Webber,0.5469,Média Propensão (Foco em Nutrição),8,117,33,22374.0,678.0,2014-09-05,Consumer,US
229,Mark Haberlin,0.5468,Média Propensão (Foco em Nutrição),8,8,33,11304.0,342.55,2014-12-23,Corporate,EU
230,Katrina Bavinger,0.5467,Média Propensão (Foco em Nutrição),8,19,31,14027.0,452.48,2014-12-12,Home Office,APAC
231,Laura Armstrong,0.5466,Média Propensão (Foco em Nutrição),8,1,46,27864.0,605.74,2014-12-30,Corporate,US
232,Aaron Smayling,0.5463,Média Propensão (Foco em Nutrição),8,23,31,14207.0,458.29,2014-12-08,Corporate,EU
233,Tracy Zic,0.5461,Média Propensão (Foco em Nutrição),8,35,24,10860.0,452.5,2014-11-26,Consumer,LATAM
234,Jay Kimmel,0.5461,Média Propensão (Foco em Nutrição),8,1,33,13401.0,406.09,2014-12-30,Consumer,LATAM
235,Sanjit Engle,0.546,Média Propensão (Foco em Nutrição),8,9,39,30143.0,772.9,2014-12-22,Consumer,EU
236,Georgia Rosenberg,0.5458,Média Propensão (Foco em Nutrição),8,49,30,13850.0,461.67,2014-11-12,Corporate,APAC
237,Rick Huthwaite,0.5451,Média Propensão (Foco em Nutrição),8,20,32,13438.0,419.94,2014-12-11,Home Office,LATAM
238,Russell Applegate,0.5433,Média Propensão (Foco em Nutrição),8,12,29,21398.0,737.86,2014-12-19,Consumer,US
239,Heather Jas,0.5426,Média Propensão (Foco em Nutrição),8,5,38,15435.0,406.18,2014-12-26,Home Office,APAC
240,Ralph Ritter,0.5419,Média Propensão (Foco em Nutrição),7,19,25,13584.0,543.36,2014-12-12,Consumer,APAC
241,Julia Barnett,0.5418,Média Propensão (Foco em Nutrição),7,0,34,17087.0,502.56,2014-12-31,Home Office,APAC
242,Charles Crestani,0.5417,Média Propensão (Foco em Nutrição),7,82,30,13350.0,445.0,2014-10-10,Consumer,APAC
243,Harold Pawlan,0.5412,Média Propensão (Foco em Nutrição),7,30,29,8517.0,293.69,2014-12-01,Home Office,LATAM
244,Meg Tillman,0.5411,Média Propensão (Foco em Nutrição),7,49,33,15346.0,465.03,2014-11-12,Consumer,APAC
245,Katrina Willman,0.541,Média Propensão (Foco em Nutrição),7,26,27,15747.0,583.22,2014-12-05,Consumer,EU
246,Phillip Breyer,0.5398,Média Propensão (Foco em Nutrição),7,8,34,24269.0,713.79,2014-12-23,Corporate,EU
247,Erica Hernandez,0.5396,Média Propensão (Foco em Nutrição),7,2,35,13008.0,371.66,2014-12-29,Home Office,APAC
248,Todd Boyes,0.5393,Média Propensão (Foco em Nutrição),7,14,28,9647.0,344.54,2014-12-17,Corporate,LATAM
249,Dean Braden,0.5393,Média Propensão (Foco em Nutrição),7,7,34,14132.0,415.65,2014-12-24,Consumer,US
250,Jennifer Ferguson,0.5391,Média Propensão (Foco em Nutrição),7,2,34,22947.0,674.91,2014-12-29,Consumer,US
251,Shui Tom,0.539,Média Propensão (Foco em Nutrição),7,6,38,15006.0,394.89,2014-12-25,Consumer,LATAM
252,Roy Phan,0.5385,Média Propensão (Foco em Nutrição),7,21,33,14610.0,442.73,2014-12-10,Corporate,EU
253,Kean Thornton,0.5384,Média Propensão (Foco em Nutrição),7,27,27,8362.0,309.7,2014-12-04,Consumer,US
254,Nathan Cano,0.5384,Média Propensão (Foco em Nutrição),7,39,24,10759.0,448.29,2014-11-22,Consumer,US
255,Frank Hawley,0.5381,Média Propensão (Foco em Nutrição),7,4,28,13686.0,488.79,2014-12-27,Corporate,US
256,Yana Sorensen,0.538,Média Propensão (Foco em Nutrição),7,4,32,20034.0,626.06,2014-12-27,Corporate,LATAM
257,Thea Hendricks,0.5378,Média Propensão (Foco em Nutrição),7,6,31,15541.0,501.32,2014-12-25,Consumer,APAC
258,Dennis Pardue,0.5376,Média Propensão (Foco em Nutrição),7,0,33,11661.0,353.36,2014-12-31,Home Office,US
259,Gary Hansen,0.5373,Média Propensão (Foco em Nutrição),7,20,45,15269.0,339.31,2014-12-11,Home Office,EU
260,Ben Ferrer,0.5359,Média Propensão (Foco em Nutrição),7,16,37,23219.0,627.54,2014-12-15,Home Office,US
261,Jason Gross,0.5349,Média Propensão (Foco em Nutrição),7,2,29,13570.0,467.93,2014-12-29,Corporate,APAC
262,Chris Cortes,0.5343,Média Propensão (Foco em Nutrição),7,20,44,11483.0,260.98,2014-12-11,Consumer,US
263,Dennis Kane,0.5338,Média Propensão (Foco em Nutrição),7,4,36,20103.0,558.42,2014-12-27,Consumer,US
264,Becky Martin,0.5331,Média Propensão (Foco em Nutrição),7,8,35,27173.0,776.37,2014-12-23,Consumer,LATAM
265,Valerie Takahito,0.533,Média Propensão (Foco em Nutrição),7,7,32,19368.0,605.25,2014-12-24,Home Office,APAC
266,Brooke Gillingham,0.5326,Média Propensão (Foco em Nutrição),7,9,24,11213.0,467.21,2014-12-22,Corporate,APAC
267,Brad Eason,0.5325,Média Propensão (Foco em Nutrição),7,3,29,18986.0,654.69,2014-12-28,Home Office,APAC
268,Eugene Hildebrand,0.5307,Média Propensão (Foco em Nutrição),7,22,44,22424.0,509.64,2014-12-09,Home Office,US
269,Ann Chong,0.5304,Média Propensão (Foco em Nutrição),7,6,36,15027.0,417.42,2014-12-25,Corporate,APAC
270,Bill Shonely,0.5304,Média Propensão (Foco em Nutrição),7,0,31,23511.0,758.42,2014-12-31,Corporate,LATAM
271,Michelle Moray,0.5299,Média Propensão (Foco em Nutrição),7,15,33,13089.0,396.64,2014-12-16,Consumer,US
272,Hunter Lopez,0.5297,Média Propensão (Foco em Nutrição),7,30,24,30246.0,1260.25,2014-12-01,Consumer,APAC
273,Linda Southworth,0.5293,Média Propensão (Foco em Nutrição),7,6,32,13145.0,410.78,2014-12-25,Corporate,US
274,Sylvia Foulston,0.5284,Média Propensão (Foco em Nutrição),7,48,23,9257.0,402.48,2014-11-13,Corporate,US
275,Michael Stewart,0.5274,Média Propensão (Foco em Nutrição),7,6,32,17869.0,558.41,2014-12-25,Corporate,LATAM
276,Nat Gilpin,0.5271,Média Propensão (Foco em Nutrição),7,48,28,12015.0,429.11,2014-11-13,Corporate,US
277,Cari Sayre,0.5264,Média Propensão (Foco em Nutrição),7,15,34,22067.0,649.03,2014-12-16,Corporate,APAC
278,Peter McVee,0.5257,Média Propensão (Foco em Nutrição),7,12,28,11288.0,403.14,2014-12-19,Home Office,EU
279,Nora Preis,0.5253,Média Propensão (Foco em Nutrição),7,28,33,15921.0,482.45,2014-12-03,Consumer,EU
280,Cathy Armstrong,0.5252,Média Propensão (Foco em Nutrição),7,13,25,12293.0,491.72,2014-12-18,Home Office,EU
281,Carlos Meador,0.5251,Média Propensão (Foco em Nutrição),7,36,25,10148.0,405.92,2014-11-25,Consumer,EU
282,Lena Hernandez,0.5251,Média Propensão (Foco em Nutrição),7,21,32,12941.0,404.41,2014-12-10,Consumer,APAC
283,Ken Black,0.5251,Média Propensão (Foco em Nutrição),7,93,29,16602.0,572.48,2014-09-29,Corporate,US
284,Dan Lawera,0.5246,Média Propensão (Foco em Nutrição),7,57,41,12690.0,309.51,2014-11-04,Consumer,EU
285,Nora Paige,0.5245,Média Propensão (Foco em Nutrição),7,58,25,15714.0,628.56,2014-11-03,Consumer,EU
286,Evan Minnotte,0.524,Média Propensão (Foco em Nutrição),7,41,27,19672.0,728.59,2014-11-20,Home Office,LATAM
287,David Philippe,0.524,Média Propensão (Foco em Nutrição),7,7,31,23730.0,765.48,2014-12-24,Consumer,EU
288,Amy Hunt,0.5239,Média Propensão (Foco em Nutrição),7,70,24,9202.0,383.42,2014-10-22,Consumer,LATAM
289,Elizabeth Moffitt,0.5238,Média Propensão (Foco em Nutrição),7,55,32,14508.0,453.38,2014-11-06,Corporate,US
290,Michelle Huthwaite,0.5237,Média Propensão (Foco em Nutrição),7,14,28,12851.0,458.96,2014-12-17,Consumer,EU
291,Allen Armold,0.5235,Média Propensão (Foco em Nutrição),7,6,31,6537.0,210.87,2014-12-25,Consumer,US
292,Bill Donatelli,0.5229,Média Propensão (Foco em Nutrição),7,5,38,15276.0,402.0,2014-12-26,Consumer,US
293,Justin Ritter,0.5229,Média Propensão (Foco em Nutrição),7,18,27,13625.0,504.63,2014-12-13,Corporate,APAC
294,Carol Darley,0.5229,Média Propensão (Foco em Nutrição),7,1,30,13232.0,441.07,2014-12-30,Consumer,LATAM
295,Grace Kelly,0.5227,Média Propensão (Foco em Nutrição),7,12,28,19982.0,713.64,2014-12-19,Corporate,APAC
296,Steve Nguyen,0.5224,Média Propensão (Foco em Nutrição),7,44,28,13404.0,478.71,2014-11-17,Home Office,US
297,Kristina Nunn,0.5206,Média Propensão (Foco em Nutrição),7,98,24,10715.0,446.46,2014-09-24,Home Office,US
298,Max Engle,0.5199,Média Propensão (Foco em Nutrição),7,11,39,9924.0,254.46,2014-12-20,Consumer,APAC
299,Justin MacKendrick,0.5198,Média Propensão (Foco em Nutrição),7,12,33,9027.0,273.55,2014-12-19,Consumer,US
300,Scott Cohen,0.5189,Média Propensão (Foco em Nutrição),7,0,33,12537.0,379.91,2014-12-31,Corporate,APAC
301,Michelle Arnett,0.5189,Média Propensão (Foco em Nutrição),7,16,33,11933.0,361.61,2014-12-15,Home Office,APAC
302,Vicky Freymann,0.5188,Média Propensão (Foco em Nutrição),7,13,28,12600.0,450.0,2014-12-18,Home Office,APAC
303,Ralph Kennedy,0.5188,Média Propensão (Foco em Nutrição),7,28,30,13998.0,466.6,2014-12-03,Consumer,LATAM
304,Arianne Irving,0.5186,Média Propensão (Foco em Nutrição),7,13,26,9281.0,356.96,2014-12-18,Consumer,US
305,Matt Collister,0.5185,Média Propensão (Foco em Nutrição),7,51,28,11674.0,416.93,2014-11-10,Corporate,LATAM
306,Muhammed MacIntyre,0.5181,Média Propensão (Foco em Nutrição),7,12,35,10720.0,306.29,2014-12-19,Corporate,EMEA
307,Beth Fritzler,0.5177,Média Propensão (Foco em Nutrição),7,6,30,10588.0,352.93,2014-12-25,Corporate,LATAM
308,Paul Lucas,0.5177,Média Propensão (Foco em Nutrição),7,15,23,15015.0,652.83,2014-12-16,Home Office,APAC
309,Phillip Flathmann,0.517,Média Propensão (Foco em Nutrição),7,2,37,13392.0,361.95,2014-12-29,Consumer,EU
310,Lori Olson,0.5168,Média Propensão (Foco em Nutrição),7,2,35,13541.0,386.89,2014-12-29,Corporate,APAC
311,Alyssa Crouse,0.5166,Média Propensão (Foco em Nutrição),7,6,33,12296.0,372.61,2014-12-25,Corporate,Africa
312,Debra Catini,0.5164,Média Propensão (Foco em Nutrição),7,18,27,16972.0,628.59,2014-12-13,Consumer,LATAM
313,Darren Koutras,0.5163,Média Propensão (Foco em Nutrição),7,1,36,14903.0,413.97,2014-12-30,Consumer,EU
314,Janet Martin,0.5161,Média Propensão (Foco em Nutrição),7,6,29,18017.0,621.28,2014-12-25,Consumer,APAC
315,Brendan Sweed,0.516,Média Propensão (Foco em Nutrição),7,35,28,12179.0,434.96,2014-11-26,Corporate,APAC
316,Aimee Bixby,0.5159,Média Propensão (Foco em Nutrição),7,35,28,16205.0,578.75,2014-11-26,Consumer,LATAM
317,Scot Wooten,0.5151,Média Propensão (Foco em Nutrição),7,12,30,15479.0,515.97,2014-12-19,Consumer,APAC
318,Lindsay Williams,0.5148,Média Propensão (Foco em Nutrição),7,14,34,10982.0,323.0,2014-12-17,Corporate,EMEA
319,Valerie Dominguez,0.5144,Média Propensão (Foco em Nutrição),6,0,30,15987.0,532.9,2014-12-31,Consumer,US
320,Fred Chung,0.514,Média Propensão (Foco em Nutrição),6,107,27,9323.0,345.3,2014-09-15,Corporate,LATAM
321,Adrian Hane,0.5136,Média Propensão (Foco em Nutrição),6,21,26,11406.0,438.69,2014-12-10,Home Office,US
322,Rick Duston,0.5134,Média Propensão (Foco em Nutrição),6,0,33,17546.0,531.7,2014-12-31,Consumer,LATAM
323,Tony Sayre,0.5133,Média Propensão (Foco em Nutrição),6,11,31,19734.0,636.58,2014-12-20,Consumer,APAC
324,Beth Paige,0.5133,Média Propensão (Foco em Nutrição),6,12,33,12827.0,388.7,2014-12-19,Consumer,US
325,Barry Blumstein,0.5133,Média Propensão (Foco em Nutrição),6,14,37,9883.0,267.11,2014-12-17,Corporate,APAC
326,Lisa DeCherney,0.5129,Média Propensão (Foco em Nutrição),6,43,33,11824.0,358.3,2014-11-18,Consumer,APAC
327,Liz Pelletier,0.5116,Média Propensão (Foco em Nutrição),6,40,31,9465.0,305.32,2014-11-21,Consumer,LATAM
328,Rob Beeghly,0.5113,Média Propensão (Foco em Nutrição),6,20,30,11549.0,384.97,2014-12-11,Consumer,EU
329,Stewart Carmichael,0.5113,Média Propensão (Foco em Nutrição),6,40,39,16529.0,423.82,2014-11-21,Corporate,LATAM
330,Max Ludwig,0.511,Média Propensão (Foco em Nutrição),6,1,35,15534.0,443.83,2014-12-30,Home Office,APAC
331,Magdelene Morse,0.5105,Média Propensão (Foco em Nutrição),6,4,31,21226.0,684.71,2014-12-27,Consumer,APAC
332,Beth Thompson,0.5101,Média Propensão (Foco em Nutrição),6,28,34,11631.0,342.09,2014-12-03,Home Office,LATAM
333,Susan MacKendrick,0.51,Média Propensão (Foco em Nutrição),6,37,22,8634.0,392.45,2014-11-24,Consumer,EU
334,Zuschuss Carroll,0.5099,Média Propensão (Foco em Nutrição),6,3,38,28485.0,749.61,2014-12-28,Consumer,US
335,Dionis Lloyd,0.5093,Média Propensão (Foco em Nutrição),6,22,32,16648.0,520.25,2014-12-09,Corporate,EU
336,Karen Bern,0.5093,Média Propensão (Foco em Nutrição),6,4,34,11846.0,348.41,2014-12-27,Corporate,EMEA
337,Arthur Wiediger,0.5092,Média Propensão (Foco em Nutrição),6,35,28,11016.0,393.43,2014-11-26,Home Office,US
338,Neoma Murray,0.509,Média Propensão (Foco em Nutrição),6,19,28,13872.0,495.43,2014-12-12,Consumer,US
339,Tiffany House,0.5083,Média Propensão (Foco em Nutrição),6,8,36,16804.0,466.78,2014-12-23,Corporate,EMEA
340,Adrian Barton,0.5066,Média Propensão (Foco em Nutrição),6,27,40,25125.0,628.12,2014-12-04,Consumer,US
341,Shaun Weien,0.5063,Média Propensão (Foco em Nutrição),6,7,31,8247.0,266.03,2014-12-24,Consumer,EU
342,Guy Thornton,0.5062,Média Propensão (Foco em Nutrição),6,0,31,9061.0,292.29,2014-12-31,Consumer,EU
343,Stephanie Ulpright,0.5061,Média Propensão (Foco em Nutrição),6,4,29,10779.0,371.69,2014-12-27,Home Office,US
344,Tom Zandusky,0.506,Média Propensão (Foco em Nutrição),6,8,35,15348.0,438.51,2014-12-23,Corporate,LATAM
345,Vivek Grady,0.5058,Média Propensão (Foco em Nutrição),6,2,27,23767.0,880.26,2014-12-29,Corporate,APAC
346,Sean Christensen,0.5058,Média Propensão (Foco em Nutrição),6,16,33,20907.0,633.55,2014-12-15,Consumer,EU
347,Greg Tran,0.5056,Média Propensão (Foco em Nutrição),6,8,34,35552.0,1045.65,2014-12-23,Consumer,US
348,Deborah Brumfield,0.5056,Média Propensão (Foco em Nutrição),6,9,27,12578.0,465.85,2014-12-22,Home Office,APAC
349,Jim Epp,0.5052,Média Propensão (Foco em Nutrição),6,42,32,13952.0,436.0,2014-11-19,Corporate,APAC
350,Alan Shonely,0.505,Média Propensão (Foco em Nutrição),6,12,36,10692.0,297.0,2014-12-19,Consumer,EU
351,Deanra Eno,0.5049,Média Propensão (Foco em Nutrição),6,19,30,12799.0,426.63,2014-12-12,Home Office,LATAM
352,Anthony Witt,0.5046,Média Propensão (Foco em Nutrição),6,16,32,15143.0,473.22,2014-12-15,Consumer,EMEA
353,Charles McCrossin,0.5041,Média Propensão (Foco em Nutrição),6,26,31,20156.0,650.19,2014-12-05,Consumer,APAC
354,Paul Gonzalez,0.5037,Média Propensão (Foco em Nutrição),6,2,34,15922.0,468.29,2014-12-29,Consumer,EU
355,Steve Chapman,0.503,Média Propensão (Foco em Nutrição),6,9,39,23401.0,600.03,2014-12-22,Corporate,APAC
356,Laurel Beltran,0.5025,Média Propensão (Foco em Nutrição),6,39,39,26387.0,676.59,2014-11-22,Home Office,US
357,Darrin Sayre,0.502,Média Propensão (Foco em Nutrição),6,48,32,13283.0,415.09,2014-11-13,Home Office,US
358,Gene McClure,0.5019,Média Propensão (Foco em Nutrição),6,104,28,11003.0,392.96,2014-09-18,Consumer,LATAM
359,Anthony Jacobs,0.5017,Média Propensão (Foco em Nutrição),6,1,37,17757.0,479.92,2014-12-30,Corporate,Africa
360,Max Jones,0.5015,Média Propensão (Foco em Nutrição),6,21,30,16486.0,549.53,2014-12-10,Consumer,LATAM
361,Michael Chen,0.5001,Média Propensão (Foco em Nutrição),6,1,35,15939.0,455.4,2014-12-30,Consumer,APAC
362,Chloris Kastensmidt,0.5001,Média Propensão (Foco em Nutrição),6,4,43,14572.0,338.88,2014-12-27,Consumer,US
363,Mitch Willingham,0.4995,Média Propensão (Foco em Nutrição),6,0,30,19008.0,633.6,2014-12-31,Corporate,EU
364,Benjamin Venier,0.4987,Média Propensão (Foco em Nutrição),6,44,25,21366.0,854.64,2014-11-17,Corporate,EU
365,Helen Wasserman,0.4973,Média Propensão (Foco em Nutrição),6,34,35,18372.0,524.91,2014-11-27,Corporate,US
366,Benjamin Patterson,0.497,Média Propensão (Foco em Nutrição),6,39,31,18714.0,603.68,2014-11-22,Consumer,Africa
367,Herbert Flentye,0.497,Média Propensão (Foco em Nutrição),6,14,36,11813.0,328.14,2014-12-17,Consumer,US
368,Joe Elijah,0.497,Média Propensão (Foco em Nutrição),6,9,43,22452.0,522.14,2014-12-22,Consumer,APAC
369,Patrick Ryan,0.4963,Média Propensão (Foco em Nutrição),6,25,34,14330.0,421.47,2014-12-06,Consumer,APAC
370,Christina VanderZanden,0.4957,Média Propensão (Foco em Nutrição),6,39,29,10327.0,356.1,2014-11-22,Consumer,LATAM
371,Sonia Cooley,0.4955,Média Propensão (Foco em Nutrição),6,27,35,10012.0,286.06,2014-12-04,Consumer,EU
372,Nathan Mautz,0.495,Média Propensão (Foco em Nutrição),6,30,41,24278.0,592.15,2014-12-01,Home Office,APAC
373,Jennifer Halladay,0.4948,Média Propensão (Foco em Nutrição),6,5,40,12692.0,317.3,2014-12-26,Consumer,LATAM
374,Ricardo Emerson,0.4947,Média Propensão (Foco em Nutrição),6,28,27,14039.0,519.96,2014-12-03,Consumer,APAC
375,Michelle Lonsdale,0.4947,Média Propensão (Foco em Nutrição),6,7,26,10367.0,398.73,2014-12-24,Corporate,EU
376,Duane Huffman,0.4947,Média Propensão (Foco em Nutrição),6,20,29,12477.0,430.24,2014-12-11,Home Office,EMEA
377,Naresj Patel,0.4946,Média Propensão (Foco em Nutrição),6,1,33,13118.0,397.52,2014-12-30,Consumer,US
378,Sally Hughsby,0.4946,Média Propensão (Foco em Nutrição),6,25,37,18951.0,512.19,2014-12-06,Corporate,US
379,Irene Maddox,0.4945,Média Propensão (Foco em Nutrição),6,40,34,19919.0,585.85,2014-11-21,Consumer,EU
380,Nicole Hansen,0.4944,Média Propensão (Foco em Nutrição),6,5,28,21304.0,760.86,2014-12-26,Corporate,APAC
381,Maya Herman,0.4943,Média Propensão (Foco em Nutrição),6,0,35,13592.0,388.34,2014-12-31,Corporate,APAC
382,Katherine Hughes,0.4941,Média Propensão (Foco em Nutrição),6,1,35,12210.0,348.86,2014-12-30,Consumer,APAC
383,Elpida Rittenbach,0.494,Média Propensão (Foco em Nutrição),6,53,26,17131.0,658.88,2014-11-08,Corporate,EMEA
384,Brian Moss,0.4937,Média Propensão (Foco em Nutrição),6,33,32,17459.0,545.59,2014-11-28,Corporate,US
385,Tony Chapman,0.4937,Média Propensão (Foco em Nutrição),6,1,38,12633.0,332.45,2014-12-30,Home Office,APAC
386,Katrina Edelman,0.4933,Média Propensão (Foco em Nutrição),6,26,35,13553.0,387.23,2014-12-05,Corporate,APAC
387,Lena Cacioppo,0.493,Média Propensão (Foco em Nutrição),6,23,29,11078.0,382.0,2014-12-08,Consumer,US
388,Mike Caudle,0.4929,Média Propensão (Foco em Nutrição),6,51,28,9355.0,334.11,2014-11-10,Corporate,LATAM
389,Frank Preis,0.4927,Média Propensão (Foco em Nutrição),6,23,34,10760.0,316.47,2014-12-08,Consumer,APAC
390,Alejandro Grove,0.4926,Média Propensão (Foco em Nutrição),6,13,33,13419.0,406.64,2014-12-18,Consumer,APAC
391,Russell D'Ascenzo,0.4925,Média Propensão (Foco em Nutrição),6,28,33,15819.0,479.36,2014-12-03,Consumer,LATAM
392,Bradley Talbott,0.4924,Média Propensão (Foco em Nutrição),6,33,32,15343.0,479.47,2014-11-28,Home Office,EU
393,Sam Craven,0.492,Média Propensão (Foco em Nutrição),6,8,38,11056.0,290.95,2014-12-23,Consumer,APAC
394,Giulietta Weimer,0.4914,Média Propensão (Foco em Nutrição),6,14,33,18071.0,547.61,2014-12-17,Consumer,APAC
395,Julia Dunbar,0.4909,Média Propensão (Foco em Nutrição),6,65,28,11228.0,401.0,2014-10-27,Consumer,LATAM
396,Giulietta Dortch,0.4906,Média Propensão (Foco em Nutrição),6,5,33,18705.0,566.82,2014-12-26,Corporate,APAC
397,Lena Radford,0.4898,Média Propensão (Foco em Nutrição),6,26,29,22903.0,789.76,2014-12-05,Consumer,EU
398,Steven Roelle,0.4892,Média Propensão (Foco em Nutrição),5,21,37,19374.0,523.62,2014-12-10,Home Office,EU
399,Ken Lonsdale,0.4891,Média Propensão (Foco em Nutrição),5,0,33,24127.0,731.12,2014-12-31,Consumer,US
400,Joel Eaton,0.489,Média Propensão (Foco em Nutrição),5,32,42,21905.0,521.55,2014-11-29,Consumer,US
401,Pamela Stobb,0.489,Média Propensão (Foco em Nutrição),5,29,33,17635.0,534.39,2014-12-02,Consumer,US
402,Alejandro Savely,0.4889,Média Propensão (Foco em Nutrição),5,18,43,21124.0,491.26,2014-12-13,Corporate,APAC
403,Cyma Kinney,0.4888,Média Propensão (Foco em Nutrição),5,37,38,10596.0,278.84,2014-11-24,Corporate,Africa
404,Anna Häberlin,0.4887,Média Propensão (Foco em Nutrição),5,30,36,18093.0,502.58,2014-12-01,Corporate,US
405,Ann Steele,0.488,Média Propensão (Foco em Nutrição),5,33,30,11818.0,393.93,2014-11-28,Home Office,Africa
406,Caroline Jumper,0.4874,Média Propensão (Foco em Nutrição),5,33,29,19582.0,675.24,2014-11-28,Consumer,LATAM
407,Dave Kipp,0.4863,Média Propensão (Foco em Nutrição),5,8,39,19456.0,498.87,2014-12-23,Consumer,APAC
408,Tamara Chand,0.4855,Média Propensão (Foco em Nutrição),5,27,36,37453.0,1040.36,2014-12-04,Corporate,LATAM
409,Mitch Gastineau,0.4855,Média Propensão (Foco em Nutrição),5,1,36,18010.0,500.28,2014-12-30,Corporate,EU
410,Michael Kennedy,0.4854,Média Propensão (Foco em Nutrição),5,21,42,14447.0,343.98,2014-12-10,Corporate,US
411,Dave Hallsten,0.4847,Média Propensão (Foco em Nutrição),5,75,35,16191.0,462.6,2014-10-17,Corporate,US
412,Lycoris Saunders,0.4838,Média Propensão (Foco em Nutrição),5,4,34,11739.0,345.26,2014-12-27,Consumer,APAC
413,Cassandra Brandow,0.4828,Média Propensão (Foco em Nutrição),5,9,30,13529.0,450.97,2014-12-22,Consumer,US
414,Christine Sundaresam,0.482,Média Propensão (Foco em Nutrição),5,6,40,10546.0,263.65,2014-12-25,Consumer,US
415,Joy Smith,0.4819,Média Propensão (Foco em Nutrição),5,21,36,20793.0,577.58,2014-12-10,Consumer,APAC
416,Benjamin Farhat,0.4816,Média Propensão (Foco em Nutrição),5,26,32,13370.0,417.81,2014-12-05,Home Office,APAC
417,Craig Yedwab,0.4814,Média Propensão (Foco em Nutrição),5,60,35,14220.0,406.29,2014-11-01,Corporate,EU
418,Bruce Stewart,0.4811,Média Propensão (Foco em Nutrição),5,1,34,19234.0,565.71,2014-12-30,Consumer,LATAM
419,Raymond Buch,0.4811,Média Propensão (Foco em Nutrição),5,20,29,29601.0,1020.72,2014-12-11,Consumer,APAC
420,Jim Sink,0.4809,Média Propensão (Foco em Nutrição),5,40,31,16281.0,525.19,2014-11-21,Corporate,LATAM
421,Mitch Webber,0.4808,Média Propensão (Foco em Nutrição),5,17,36,23070.0,640.83,2014-12-14,Consumer,LATAM
422,Harold Dahlen,0.4802,Média Propensão (Foco em Nutrição),5,42,36,20070.0,557.5,2014-11-19,Home Office,LATAM
423,Bart Pistole,0.4802,Média Propensão (Foco em Nutrição),5,2,38,10087.0,265.45,2014-12-29,Corporate,US
424,Victor Preis,0.4799,Média Propensão (Foco em Nutrição),5,28,33,12063.0,365.55,2014-12-03,Home Office,APAC
425,Keith Dawkins,0.4799,Média Propensão (Foco em Nutrição),5,46,40,26451.0,661.28,2014-11-15,Corporate,US
426,Frank Gastineau,0.4799,Média Propensão (Foco em Nutrição),5,34,27,9704.0,359.41,2014-11-27,Home Office,APAC
427,Anthony O'Donnell,0.4798,Média Propensão (Foco em Nutrição),5,7,32,15025.0,469.53,2014-12-24,Corporate,EU
428,Jenna Caffey,0.4792,Média Propensão (Foco em Nutrição),5,8,34,16161.0,475.32,2014-12-23,Consumer,LATAM
429,Greg Guthrie,0.4792,Média Propensão (Foco em Nutrição),5,33,33,13901.0,421.24,2014-11-28,Corporate,EU
430,Mark Cousins,0.4792,Média Propensão (Foco em Nutrição),5,23,35,16548.0,472.8,2014-12-08,Corporate,LATAM
431,Ann Blume,0.4789,Média Propensão (Foco em Nutrição),5,7,27,18727.0,693.59,2014-12-24,Corporate,Africa
432,Jennifer Braxton,0.4788,Média Propensão (Foco em Nutrição),5,7,41,15258.0,372.15,2014-12-24,Corporate,EU
433,Chuck Clark,0.4787,Média Propensão (Foco em Nutrição),5,0,31,15040.0,485.16,2014-12-31,Home Office,LATAM
434,Ellis Ballard,0.4784,Média Propensão (Foco em Nutrição),5,2,31,21986.0,709.23,2014-12-29,Corporate,EU
435,Kelly Williams,0.4774,Média Propensão (Foco em Nutrição),5,22,40,11833.0,295.82,2014-12-09,Consumer,LATAM
436,Mark Hamilton,0.4766,Média Propensão (Foco em Nutrição),5,54,37,14724.0,397.95,2014-11-07,Consumer,EMEA
437,Jack O'Briant,0.4761,Média Propensão (Foco em Nutrição),5,5,29,13348.0,460.28,2014-12-26,Corporate,EU
438,Sonia Sunley,0.4757,Média Propensão (Foco em Nutrição),5,5,29,13118.0,452.34,2014-12-26,Consumer,APAC
439,Natalie Fritzler,0.4746,Média Propensão (Foco em Nutrição),5,1,43,31778.0,739.02,2014-12-30,Consumer,EU
